file,model,task,sample,v0,v2,v3,RA_genuine,RA_missed,RA_total
01_v3bt_gpt-oss-120b_hmmt_2026_feb_geo_08_s0,gpt-oss-120b,hmmt_2026_feb_geo_08,0,11,10,19,,,
02_v3bt_gpt-oss-20b_hmmt_2026_feb_geo_09_s6,gpt-oss-20b,hmmt_2026_feb_geo_09,6,28,0,11,,,
03_v3bt_gpt-oss-120b_aime_2026_ii_13_s5,gpt-oss-120b,aime_2026_ii_13,5,1,3,8,,,
04_v3bt_gpt-oss-120b_hmmt_2026_feb_geo_05_s6,gpt-oss-120b,hmmt_2026_feb_geo_05,6,0,3,6,,,
05_v3bt_GLM5_3_hmmt_2026_feb_geo_05_s6,GLM 5.3,hmmt_2026_feb_geo_05,6,8,4,5,,,
06_v3bt_GLM5_3_aime_2026_ii_13_s6,GLM 5.3,aime_2026_ii_13,6,1,0,7,,,
07_v3bt_gpt-oss-20b_hmmt_2026_feb_comb_06_s4,gpt-oss-20b,hmmt_2026_feb_comb_06,4,25,1,19,,,
08_v3bt_GLM5_2_hmmt_2026_feb_geo_09_s6,GLM 5.2,hmmt_2026_feb_geo_09,6,26,5,9,,,
09_v3bt_gpt-oss-20b_aime_2026_i_10_s1,gpt-oss-20b,aime_2026_i_10,1,3,0,3,,,
10_v3bt_gpt-oss-20b_aime_2026_ii_03_s5,gpt-oss-20b,aime_2026_ii_03,5,7,5,4,,,
11_v3bt_GLM5_2_hmmt_2026_feb_comb_09_s3,GLM 5.2,hmmt_2026_feb_comb_09,3,27,3,3,,,
12_v3bt_GLM5_2_hmmt_2026_feb_geo_09_s4,GLM 5.2,hmmt_2026_feb_geo_09,4,1,0,1,,,
13_v3bt_GLM5_3_aime_2026_i_04_s2,GLM 5.3,aime_2026_i_04,2,1,0,2,,,
14_v3bt_gpt-oss-120b_hmmt_2026_feb_algnt_04_s5,gpt-oss-120b,hmmt_2026_feb_algnt_04,5,0,0,1,,,
15_v3bt_GLM5_2_aime_2026_ii_11_s4,GLM 5.2,aime_2026_ii_11,4,1,0,1,,,
16_v3bt_GLM5_2_hmmt_2026_feb_geo_09_s1,GLM 5.2,hmmt_2026_feb_geo_09,1,2,0,9,,,
17_v3bt_gpt-oss-20b_aime_2026_ii_07_s3,gpt-oss-20b,aime_2026_ii_07,3,1,0,1,,,
18_v3bt_GLM5_3_hmmt_2026_feb_comb_07_s5,GLM 5.3,hmmt_2026_feb_comb_07,5,22,3,5,,,
19_v3bt_GLM5_3_hmmt_2026_feb_geo_06_s1,GLM 5.3,hmmt_2026_feb_geo_06,1,30,4,18,,,
20_v3bt_gpt-oss-120b_hmmt_2026_feb_geo_09_s3,gpt-oss-120b,hmmt_2026_feb_geo_09,3,12,3,5,,,
