file,behaviour,model,task,v0_count,v1_count,RA_v1_genuine,RA_v1_missed,RA_total
01_backtracking_gpt-oss-120b_hmmt_2026_feb_geo_08_s0,backtracking,gpt-oss-120b,hmmt_2026_feb_geo_08,11,2,,,
02_backtracking_gpt-oss-20b_hmmt_2026_feb_geo_09_s6,backtracking,gpt-oss-20b,hmmt_2026_feb_geo_09,28,None,,,
03_backtracking_gpt-oss-120b_aime_2026_ii_13_s5,backtracking,gpt-oss-120b,aime_2026_ii_13,1,None,,,
04_backtracking_gpt-oss-120b_hmmt_2026_feb_geo_05_s6,backtracking,gpt-oss-120b,hmmt_2026_feb_geo_05,0,1,,,
05_backtracking_GLM5_3_hmmt_2026_feb_geo_05_s6,backtracking,GLM 5.3,hmmt_2026_feb_geo_05,8,1,,,
06_backtracking_GLM5_3_aime_2026_ii_13_s6,backtracking,GLM 5.3,aime_2026_ii_13,1,0,,,
07_backtracking_gpt-oss-20b_hmmt_2026_feb_comb_06_s4,backtracking,gpt-oss-20b,hmmt_2026_feb_comb_06,25,1,,,
08_backtracking_GLM5_2_hmmt_2026_feb_geo_09_s6,backtracking,GLM 5.2,hmmt_2026_feb_geo_09,26,5,,,
09_backtracking_gpt-oss-20b_aime_2026_i_10_s1,backtracking,gpt-oss-20b,aime_2026_i_10,3,2,,,
10_backtracking_gpt-oss-20b_aime_2026_ii_03_s5,backtracking,gpt-oss-20b,aime_2026_ii_03,7,4,,,
11_backtracking_GLM5_2_hmmt_2026_feb_comb_09_s3,backtracking,GLM 5.2,hmmt_2026_feb_comb_09,27,3,,,
12_backtracking_GLM5_2_hmmt_2026_feb_geo_09_s4,backtracking,GLM 5.2,hmmt_2026_feb_geo_09,1,3,,,
13_backtracking_GLM5_3_aime_2026_i_04_s2,backtracking,GLM 5.3,aime_2026_i_04,1,0,,,
14_backtracking_gpt-oss-120b_hmmt_2026_feb_algnt_04_s5,backtracking,gpt-oss-120b,hmmt_2026_feb_algnt_04,0,0,,,
15_backtracking_GLM5_2_aime_2026_ii_11_s4,backtracking,GLM 5.2,aime_2026_ii_11,1,1,,,
16_backtracking_GLM5_2_hmmt_2026_feb_geo_09_s1,backtracking,GLM 5.2,hmmt_2026_feb_geo_09,2,2,,,
17_backtracking_gpt-oss-20b_aime_2026_ii_07_s3,backtracking,gpt-oss-20b,aime_2026_ii_07,1,0,,,
18_backtracking_GLM5_3_hmmt_2026_feb_comb_07_s5,backtracking,GLM 5.3,hmmt_2026_feb_comb_07,22,2,,,
19_backtracking_GLM5_3_hmmt_2026_feb_geo_06_s1,backtracking,GLM 5.3,hmmt_2026_feb_geo_06,30,1,,,
20_backtracking_gpt-oss-120b_hmmt_2026_feb_geo_09_s3,backtracking,gpt-oss-120b,hmmt_2026_feb_geo_09,12,4,,,
