file,model,task,v0_count,v2_count,RA_v2_genuine,RA_v2_missed,RA_total
01_v2bt_gpt-oss-120b_hmmt_2026_feb_geo_08_s0,gpt-oss-120b,hmmt_2026_feb_geo_08,11,10,,,
02_v2bt_gpt-oss-20b_hmmt_2026_feb_geo_09_s6,gpt-oss-20b,hmmt_2026_feb_geo_09,28,0,,,
03_v2bt_gpt-oss-120b_aime_2026_ii_13_s5,gpt-oss-120b,aime_2026_ii_13,1,3,,,
04_v2bt_gpt-oss-120b_hmmt_2026_feb_geo_05_s6,gpt-oss-120b,hmmt_2026_feb_geo_05,0,3,,,
05_v2bt_GLM5_3_hmmt_2026_feb_geo_05_s6,GLM 5.3,hmmt_2026_feb_geo_05,8,4,,,
06_v2bt_GLM5_3_aime_2026_ii_13_s6,GLM 5.3,aime_2026_ii_13,1,0,,,
07_v2bt_gpt-oss-20b_hmmt_2026_feb_comb_06_s4,gpt-oss-20b,hmmt_2026_feb_comb_06,25,1,,,
08_v2bt_GLM5_2_hmmt_2026_feb_geo_09_s6,GLM 5.2,hmmt_2026_feb_geo_09,26,5,,,
09_v2bt_gpt-oss-20b_aime_2026_i_10_s1,gpt-oss-20b,aime_2026_i_10,3,0,,,
10_v2bt_gpt-oss-20b_aime_2026_ii_03_s5,gpt-oss-20b,aime_2026_ii_03,7,1,,,
11_v2bt_GLM5_2_hmmt_2026_feb_comb_09_s3,GLM 5.2,hmmt_2026_feb_comb_09,27,3,,,
12_v2bt_GLM5_2_hmmt_2026_feb_geo_09_s4,GLM 5.2,hmmt_2026_feb_geo_09,1,0,,,
13_v2bt_GLM5_3_aime_2026_i_04_s2,GLM 5.3,aime_2026_i_04,1,2,,,
14_v2bt_gpt-oss-120b_hmmt_2026_feb_algnt_04_s5,gpt-oss-120b,hmmt_2026_feb_algnt_04,0,0,,,
15_v2bt_GLM5_2_aime_2026_ii_11_s4,GLM 5.2,aime_2026_ii_11,1,0,,,
16_v2bt_GLM5_2_hmmt_2026_feb_geo_09_s1,GLM 5.2,hmmt_2026_feb_geo_09,2,0,,,
17_v2bt_gpt-oss-20b_aime_2026_ii_07_s3,gpt-oss-20b,aime_2026_ii_07,1,0,,,
18_v2bt_GLM5_3_hmmt_2026_feb_comb_07_s5,GLM 5.3,hmmt_2026_feb_comb_07,22,3,,,
19_v2bt_GLM5_3_hmmt_2026_feb_geo_06_s1,GLM 5.3,hmmt_2026_feb_geo_06,30,4,,,
20_v2bt_gpt-oss-120b_hmmt_2026_feb_geo_09_s3,gpt-oss-120b,hmmt_2026_feb_geo_09,12,3,,,
