trace,entry,approach,lines,matched_to_key,RA_verdict,RA_note
01,J1,Power of point,3-135,K11,,
01,J2,Reflection of H across AB,7-7,K2,,
01,J3,Angle between AB and AH,9-51,K3,,
01,J4,Law of sines,11-476,K21,,
01,J5,Coordinates,13-458,K4,,
01,J6,Formula for length of internal bisector,21-107,K7,,
01,J7,Distance from A to midpoint of arc BC,31-504,K6,,
01,J8,Homothety / reflections of circles,41-41,K7 (a second entry for it),,
01,J9,Reflection of H across angle bisector,55-85,K10,,
01,J10,Harmonic division,87-470,K20,,
01,J11,Chord theorem,93-93,K8,,
01,J12,Angles subtended by arc AH,95-103,K14,,
01,J13,Projection of B onto AC,103-105,K12,,
02,J1,mixtilinear incircle/excircle,3-5,K2,,
02,J2,contact triangle,17-17,K3 (a second entry for it),,
02,J3,internal bisector of angle BIC,19-21,K3,,
02,J4,"intersection of EF with AB, AC",25-25,K4,,
02,J5,"circle through D, E, F",27-29,K5,,
02,J6,explicit coordinates for incenter,33-41,none,,
02,J7,O1 coordinates,59-59,none,,
02,J8,AI is angle bisector of BIC,71-75,K6,,
02,J9,AI perpendicular to BC,73-73,K6 (a second entry for it),,
02,J10,"known relation for circle through E, F",77-79,K6 (a second entry for it),,
02,J11,O1 via analytic geometry,97-121,K8,,
02,J12,incenter of ABC is excenter of BIC,121-121,K7 (a second entry for it),,
02,J13,O1 coordinates via intersection of AI and perp bisector,145-285,K7,,
02,J14,law of cosines for sin A,369-369,none,,
02,J15,formula with unknown a,377-379,none,,
02,J16,exact radical expression,548-566,K9,,
02,J17,factor cubic,588-592,K11,,
02,J18,test BC=6,730-730,K12,,
03,J1,find a Fibonacci number divisible by 101,185-287,K1 (a second entry for it),,
03,J2,interleave pairs and isolated vertices,315-515,K3,,
03,J3,check if different matchings yield the same T set,325-375,none,,
03,J4,use gaps > 2 to get non-Fibonacci factors,347-351,K2,,
03,J5,check if T = S is allowed,395-395,K1,,
03,J6,reconsider if pairing means bijection,436-436,K4,,
04,J1,assuming small circles are mutually tangent,1-9,none,,
04,J2,using area of the triangle,49-119,none,,
04,J3,assuming triangle side lengths equal chord lengths,197-219,none,,
04,J4,guessing all chords are equal,221-225,none,,
05,J1,equilateral triangle configuration,29-37,K2,,
05,J2,equilateral triangle with internal tangents,57-77,K1,,
05,J3,general coordinate setup with outward normals,202-220,none,,
05,J4,symmetric configuration of circle centers,246-275,K9,,
06,J1,spacing 3 elements,17-29,none,,
06,J2,matching along path graph,56-74,K3,,
06,J3,block counts are 2^k - 1,306-427,K1,,
07,J1,interpreting doubling after debt-free,1-74,K1,,
07,J2,expressing debt as fractional part,140-142,none,,
07,J3,functional equation for termination probability,200-249,K10,,
08,J1,assuming the center of Gamma is on the x-axis,147-1357,K5 (a second entry for it),,
08,J2,assuming the center of Gamma is on the y-axis,222-456,K4,,
08,J3,assuming the center of Gamma is on x = -d,478-1324,K5 (a second entry for it),,
08,J4,assuming C = 90 degrees,642-1354,K5,,
08,J5,assuming the center of Gamma is on y = x,836-960,none,,
08,J6,"using the corrected u, v formula with +r",983-1148,none,,
09,J1,using the first rotation angle,39-73,K6 (a second entry for it),,
09,J2,using the second rotation angle,73-115,K6 (a second entry for it),,
09,J3,checking side using line equation,137-149,K6 (a second entry for it),,
09,J4,rotating by an extra 180 degrees,221-231,K4,,
09,J5,using the given vertex order to compute area,299-324,K6,,
09,J6,computing area by sorting vertices by angle,324-526,K5,,
09,J7,recomputing the side condition with corrected coordinates,545-726,K3,,
09,J8,computing convex hull to find ordering,810-822,K8,,
09,J9,computing area of union of two triangles,903-907,K10,,
09,J10,finding ordering giving area close to 168,907-978,K11,,
10,J1,BC goes up-right,35-67,K1 (a second entry for it),,
10,J2,BC goes up-left,69-71,K1,,
10,J3,b=15,151-314,K2,,
10,J4,Analytic form for h=6,686-782,K3,,
10,J5,Angle at C is 270°,840-1516,none,,
10,J6,Solve modular equation for down-left,1083-1150,K7,,
10,J7,Linear formula for s into quartic,1278-1388,K8,,
10,J8,AB is not vertical,1550-1556,none,,
11,J1,$A_i$ as set of divisors,16-17,K1,,
11,J2,$A_i$ as vectors,20-24,K2,,
11,J3,elements indexed by prime powers,25-29,K3,,
11,J4,$B_k = A_k \setminus \bigcup A_d$,36-36,K4,,
11,J5,$M_d = d$ for all $d$,84-100,K5 (a second entry for it),,
11,J6,swapping elements,363-373,K7,,
11,J7,dual problem,445-460,K5,,
11,J8,simulate greedy assignment,485-505,K9 (a second entry for it),,
11,J9,run greedy algorithm mentally,608-687,K9,,
11,J10,sort by count descending,723-743,K8,,
11,J11,sort nodes by size descending,1038-1056,none,,
11,J12,greedy approach for $\sum S(\sigma_i) C_i$,1138-1315,K12 (a second entry for it),,
11,J13,run greedy algorithm exactly,1481-1513,K12,,
12,J1,solving the cubic algebraically,1537-1558,K8,,
16,J1,inversion,69-70,K3,,
16,J2,intersecting circumcircle of BIC with AB,71-75,K4,,
16,J3,vectors,91-127,K5,,
16,J4,intersecting AI with circumcircle of BIC,132-138,K2,,
16,J5,using (b^2-c^2)/(b^2+c^2) identity,285-288,K9,,
18,J1,linearly separable dichotomies,5-7,K2,,
18,J2,geometric intersection of plane with prism,25-29,K1 (a second entry for it),,
18,J3,upper envelope/arrangement,39-39,K3,,
18,J4,"plane as graph over (x,y)",41-41,K4,,
18,J5,cut positions,79-79,K5 (a second entry for it),,
18,J6,boundary gaps,85-85,K5 (a second entry for it),,
18,J7,recall AIME answer,119-121,K1,,
18,J8,construct separating lines,133-133,K5,,
18,J9,recall AIME problem,153-159,K6,,
18,J10,projection order in each sector,238-240,none,,
19,J1,Coordinates with A at origin,53-110,K2,,
19,J2,Law of sines,114-124,K4,,
19,J3,Angle chasing,179-494,K10,,
19,J4,Ptolemy's theorem,304-516,K9,,
19,J5,Angles to find X,516-550,K11,,
20,J1,coordinates,11-11,K2 (a second entry for it),,
20,J2,excenter property,27-33,K1,,
20,J3,power of O' w.r.t (BIC),75-85,K3 (a second entry for it),,
20,J4,homothety centered at I,89-91,K3 (a second entry for it),,
20,J5,O' lies on (BIC),103-113,K4 (a second entry for it),,
20,J6,power of O' w.r.t (BIC) using tangency,115-115,K5,,
20,J7,coordinates,117-169,K6 (a second entry for it),,
20,J8,power of I w.r.t (BIC),149-149,K2,,
20,J9,AI is perpendicular bisector of BC,181-181,K6 (a second entry for it),,
20,J10,numerical testing of equation,479-873,K4 (a second entry for it),,
20,J11,absolute values,725-725,K6 (a second entry for it),,
20,J12,O' on circumcircle of BIC,875-903,K4 (a second entry for it),,
20,J13,"O', I, B, C cyclic",907-907,K4,,
20,J14,test a=9,909-927,K8,,
20,J15,magnitude equality,929-939,K6,,
20,J16,homothety sending AB to tangent,943-943,K3,,
