file,model,task,judge_count,marker_count,RA_judge_genuine,RA_marker_genuine,RA_missed,RA_total
01_gpt-oss-120b_hmmt_2026_feb_geo_08_s0,gpt-oss-120b,hmmt_2026_feb_geo_08,11,0,,,,
02_gpt-oss-20b_hmmt_2026_feb_geo_09_s6,gpt-oss-20b,hmmt_2026_feb_geo_09,28,0,,,,
03_gpt-oss-120b_aime_2026_ii_13_s5,gpt-oss-120b,aime_2026_ii_13,1,3,,,,
04_gpt-oss-120b_hmmt_2026_feb_geo_05_s6,gpt-oss-120b,hmmt_2026_feb_geo_05,0,3,,,,
05_GLM5_3_hmmt_2026_feb_geo_05_s6,GLM 5.3,hmmt_2026_feb_geo_05,8,42,,,,
06_GLM5_3_aime_2026_ii_13_s6,GLM 5.3,aime_2026_ii_13,1,22,,,,
07_gpt-oss-20b_hmmt_2026_feb_comb_06_s4,gpt-oss-20b,hmmt_2026_feb_comb_06,25,2,,,,
08_GLM5_2_hmmt_2026_feb_geo_09_s6,GLM 5.2,hmmt_2026_feb_geo_09,26,6,,,,
09_gpt-oss-20b_aime_2026_i_10_s1,gpt-oss-20b,aime_2026_i_10,3,5,,,,
10_gpt-oss-20b_aime_2026_ii_03_s5,gpt-oss-20b,aime_2026_ii_03,7,9,,,,
11_GLM5_2_hmmt_2026_feb_comb_09_s3,GLM 5.2,hmmt_2026_feb_comb_09,27,1,,,,
12_GLM5_2_hmmt_2026_feb_geo_09_s4,GLM 5.2,hmmt_2026_feb_geo_09,1,14,,,,
13_GLM5_3_aime_2026_i_04_s2,GLM 5.3,aime_2026_i_04,1,0,,,,
14_gpt-oss-120b_hmmt_2026_feb_algnt_04_s5,gpt-oss-120b,hmmt_2026_feb_algnt_04,0,0,,,,
15_GLM5_2_aime_2026_ii_11_s4,GLM 5.2,aime_2026_ii_11,1,0,,,,
16_GLM5_2_hmmt_2026_feb_geo_09_s1,GLM 5.2,hmmt_2026_feb_geo_09,2,10,,,,
17_gpt-oss-20b_aime_2026_ii_07_s3,gpt-oss-20b,aime_2026_ii_07,1,0,,,,
18_GLM5_3_hmmt_2026_feb_comb_07_s5,GLM 5.3,hmmt_2026_feb_comb_07,22,4,,,,
19_GLM5_3_hmmt_2026_feb_geo_06_s1,GLM 5.3,hmmt_2026_feb_geo_06,30,2,,,,
20_gpt-oss-120b_hmmt_2026_feb_geo_09_s3,gpt-oss-120b,hmmt_2026_feb_geo_09,12,3,,,,
